Stopped for 2 at pattern length 5; Probability count: 32733002
Stopped for 3 at pattern length 9; Probability count: 0
Stopped for 4 at pattern length 3; Probability count: 52242939
Stopped for 4113 at pattern length 3; Probability count: 0
Stopped for 4113 at pattern length 7; Probability count: 0
Stopped for 4113 at pattern length 2; Probability count: 117986662
Stopped for 4113 at pattern length 2; Probability count: 117986662
Stopped for 11 at pattern length 3; Probability count: 68711882
Stopped for 13 at pattern length 3; Probability count: 101401561
Stopped for 14 at pattern length 3; Probability count: 113281675
Stopped for 16 at pattern length 7; Probability count: 0
Stopped for 17 at pattern length 7; Probability count: 0
Stopped for 18 at pattern length 7; Probability count: 0
Stopped for 19 at pattern length 7; Probability count: 0
Stopped for 20 at pattern length 8; Probability count: 0
Stopped for 21 at pattern length 6; Probability count: 0
Stopped for 22 at pattern length 5; Probability count: 0
Stopped for 23 at pattern length 7; Probability count: 0
Stopped for 24 at pattern length 7; Probability count: 0
Stopped for 25 at pattern length 6; Probability count: 0
Stopped for 26 at pattern length 7; Probability count: 0
Stopped for 27 at pattern length 7; Probability count: 0
Stopped for 28 at pattern length 7; Probability count: 0
Stopped for 29 at pattern length 7; Probability count: 0
Stopped for 30 at pattern length 7; Probability count: 0
Stopped for 31 at pattern length 7; Probability count: 0
Stopped for 32 at pattern length 7; Probability count: 0
Stopped for 33 at pattern length 7; Probability count: 0
Stopped for 34 at pattern length 3; Probability count: 0
Stopped for 35 at pattern length 7; Probability count: 0
Stopped for 36 at pattern length 6; Probability count: 0
Stopped for 37 at pattern length 7; Probability count: 0
Stopped for 38 at pattern length 6; Probability count: 0
Stopped for 39 at pattern length 7; Probability count: 0
Stopped for 40 at pattern length 6; Probability count: 0
Stopped for 41 at pattern length 6; Probability count: 0
Stopped for 42 at pattern length 6; Probability count: 0
Stopped for 43 at pattern length 6; Probability count: 0
Stopped for 44 at pattern length 7; Probability count: 0
Stopped for 45 at pattern length 7; Probability count: 0
Stopped for 47 at pattern length 7; Probability count: 0
Stopped for 48 at pattern length 6; Probability count: 0
Stopped for 49 at pattern length 6; Probability count: 0
Stopped for 50 at pattern length 8; Probability count: 0
Stopped for 51 at pattern length 3; Probability count: 0
Stopped for 52 at pattern length 3; Probability count: 0
Stopped for 53 at pattern length 3; Probability count: 0
Stopped for 54 at pattern length 3; Probability count: 0
Stopped for 55 at pattern length 3; Probability count: 0
Stopped for 57 at pattern length 3; Probability count: 0
Stopped for 58 at pattern length 3; Probability count: 0
Stopped for 59 at pattern length 3; Probability count: 0
Stopped for 60 at pattern length 3; Probability count: 0
Stopped for 61 at pattern length 3; Probability count: 0
Stopped for 62 at pattern length 3; Probability count: 0
Stopped for 63 at pattern length 3; Probability count: 0
Stopped for 64 at pattern length 3; Probability count: 0
Stopped for 65 at pattern length 3; Probability count: 0
Stopped for 67 at pattern length 3; Probability count: 0
Stopped for 68 at pattern length 3; Probability count: 0
Stopped for 69 at pattern length 3; Probability count: 0
Stopped for 70 at pattern length 3; Probability count: 0
Stopped for 71 at pattern length 3; Probability count: 0
Stopped for 72 at pattern length 3; Probability count: 0
Stopped for 73 at pattern length 3; Probability count: 0
Stopped for 74 at pattern length 3; Probability count: 0
Stopped for 75 at pattern length 3; Probability count: 0
Stopped for 76 at pattern length 3; Probability count: 0
Stopped for 77 at pattern length 3; Probability count: 0
Stopped for 78 at pattern length 3; Probability count: 0
Stopped for 79 at pattern length 3; Probability count: 0
Stopped for 80 at pattern length 3; Probability count: 0
Stopped for 81 at pattern length 3; Probability count: 0
Stopped for 82 at pattern length 3; Probability count: 0
Stopped for 83 at pattern length 3; Probability count: 0
Stopped for 84 at pattern length 3; Probability count: 0
Stopped for 85 at pattern length 3; Probability count: 0
Stopped for 87 at pattern length 3; Probability count: 0
Stopped for 88 at pattern length 3; Probability count: 0
Stopped for 89 at pattern length 3; Probability count: 0
Stopped for 90 at pattern length 3; Probability count: 0
Stopped for 51 at pattern length 5; Probability count: 0
Stopped for 52 at pattern length 7; Probability count: 0
Stopped for 53 at pattern length 7; Probability count: 0
Stopped for 54 at pattern length 7; Probability count: 0
Stopped for 55 at pattern length 6; Probability count: 0
Stopped for 57 at pattern length 7; Probability count: 0
Stopped for 58 at pattern length 7; Probability count: 0
Stopped for 59 at pattern length 7; Probability count: 0
Stopped for 60 at pattern length 7; Probability count: 0
Stopped for 61 at pattern length 7; Probability count: 0
Stopped for 62 at pattern length 7; Probability count: 0
Stopped for 63 at pattern length 7; Probability count: 0
Stopped for 64 at pattern length 7; Probability count: 0
Stopped for 65 at pattern length 7; Probability count: 0
Stopped for 67 at pattern length 7; Probability count: 0
Stopped for 68 at pattern length 7; Probability count: 0
Stopped for 69 at pattern length 3; Probability count: 0
Stopped for 70 at pattern length 6; Probability count: 0
Stopped for 71 at pattern length 6; Probability count: 0
Stopped for 72 at pattern length 6; Probability count: 0
Stopped for 73 at pattern length 7; Probability count: 0
Stopped for 74 at pattern length 6; Probability count: 0
Stopped for 75 at pattern length 6; Probability count: 0
Stopped for 76 at pattern length 7; Probability count: 0
Stopped for 77 at pattern length 6; Probability count: 0
Stopped for 78 at pattern length 3; Probability count: 0
Stopped for 79 at pattern length 3; Probability count: 0
Stopped for 80 at pattern length 9; Probability count: 0
Stopped for 81 at pattern length 7; Probability count: 0
Stopped for 82 at pattern length 6; Probability count: 0
Stopped for 83 at pattern length 7; Probability count: 0
Stopped for 84 at pattern length 6; Probability count: 0
Stopped for 85 at pattern length 3; Probability count: 0
Stopped for 87 at pattern length 6; Probability count: 0
Stopped for 88 at pattern length 7; Probability count: 0
Stopped for 89 at pattern length 7; Probability count: 0
Stopped for 90 at pattern length 7; Probability count: 0
